timestamp,BS,BE,GE,TI,VD,VS,ZH,JU,NE,FR
2020-09-20,2,18,37,1,64,6,27,1,5,15
2020-09-21,2,51,66,6,94,16,46,4,7,24
2020-09-22,2,35,65,3,139,15,60,2,15,13
2020-09-23,4,37,57,2,122,19,68,0,9,10
2020-09-24,2,35,49,5,82,15,27,5,11,20
2020-09-25,4,36,41,1,88,6,95,3,10,15
2020-09-26,3,25,26,0,52,5,48,1,13,13
2020-09-27,0,17,22,1,29,4,26,1,1,6
2020-09-28,2,49,51,3,76,15,59,6,9,17
2020-09-29,6,45,71,9,87,14,83,1,9,21
2020-09-30,6,59,54,6,81,26,141,7,13,26
2020-10-01,7,59,78,10,106,17,145,6,28,20
2020-10-02,11,77,82,8,91,31,160,2,13,28
2020-10-03,7,30,60,6,100,17,147,6,7,22
2020-10-04,5,27,34,2,89,17,47,2,15,24
2020-10-05,7,110,123,37,136,35,151,23,41,47
2020-10-06,13,97,125,45,158,61,177,28,47,44
2020-10-07,16,100,146,37,195,102,211,22,46,72
2020-10-08,15,124,158,39,198,94,266,28,57,89
2020-10-09,22,139,213,46,213,139,322,23,62,91
2020-10-10,30,92,163,11,198,81,243,28,37,79
2020-10-11,9,77,111,18,147,76,117,2,7,71
2020-10-12,30,277,273,84,258,229,349,72,60,131
2020-10-13,19,241,301,90,319,222,415,61,116,136
2020-10-14,37,276,321,97,328,300,499,64,83,155
2020-10-15,42,332,338,114,475,311,489,43,98,233
2020-10-16,37,301,447,138,381,396,547,86,129,223
2020-10-17,24,210,230,61,323,284,426,39,70,173
2020-10-18,31,158,168,47,366,199,207,11,55,185
2020-10-19,51,563,536,252,592,567,638,88,194,293
2020-10-20,57,564,659,202,695,559,773,100,177,361
2020-10-21,92,628,702,236,796,670,906,125,169,396
2020-10-22,85,624,887,230,832,678,862,120,206,468
2020-10-23,74,646,972,278,1029,760,943,105,219,476
2020-10-24,51,405,473,151,610,522,881,81,133,372
2020-10-25,43,295,391,163,560,377,386,15,93,291
2020-10-26,104,1002,1284,419,1274,882,1119,177,315,709
2020-10-27,83,882,1361,375,1318,888,1232,121,402,769
2020-10-28,112,815,1259,356,1309,768,1360,139,320,663
2020-10-29,92,792,1294,377,1298,788,1105,135,334,659
2020-10-30,108,813,1156,374,1174,806,1071,145,345,698
2020-10-31,50,399,567,174,877,469,735,94,217,422
2020-11-01,51,299,370,166,830,321,380,94,133,337
2020-11-02,110,1015,1301,502,1618,849,1061,156,380,866
2020-11-03,104,836,1447,389,1400,683,1154,119,382,825
2020-11-04,98,778,1168,356,1398,540,1119,100,347,700
2020-11-05,91,641,1042,328,1267,544,957,86,296,688
2020-11-06,86,622,1035,363,1181,458,932,69,263,564
2020-11-07,48,367,494,161,847,266,560,59,132,398
2020-11-08,52,216,320,124,745,191,372,43,118,307
2020-11-09,122,738,1074,495,1369,554,882,94,266,605
2020-11-10,125,612,942,399,1308,426,924,66,225,608
2020-11-11,109,527,768,310,1018,343,853,55,204,443
2020-11-12,156,533,689,351,954,318,753,54,177,391
2020-11-13,138,495,607,307,870,303,757,55,205,385
2020-11-14,73,321,283,126,641,180,476,26,106,215
2020-11-15,76,195,199,133,383,119,382,15,70,141
2020-11-16,146,597,575,356,806,323,891,62,190,327
2020-11-17,121,504,443,248,670,282,868,35,177,268
2020-11-18,108,445,367,246,572,213,800,38,124,227
2020-11-19,93,490,346,249,540,195,751,47,98,165
2020-11-20,98,403,266,281,464,152,693,31,96,183
2020-11-21,84,275,165,149,371,119,469,22,61,104
2020-11-22,47,197,107,121,257,94,326,13,44,84
2020-11-23,123,610,303,320,544,220,802,32,122,190
2020-11-24,123,460,338,197,366,165,759,33,85,134
2020-11-25,117,463,202,219,424,145,791,46,117,140
2020-11-26,99,435,226,276,404,143,693,42,80,110
2020-11-27,97,414,226,239,325,156,725,32,102,109
2020-11-28,58,261,123,138,219,77,446,16,45,74
2020-11-29,59,185,70,113,191,74,331,12,43,48
2020-11-30,114,523,255,326,358,163,885,22,119,187
2020-12-01,106,415,207,284,318,126,794,26,88,129
2020-12-02,104,506,174,250,375,120,911,13,86,109
2020-12-03,96,430,196,252,365,126,760,23,67,119
2020-12-04,112,527,147,235,349,137,903,14,69,126
2020-12-05,67,331,95,134,251,61,571,12,41,69
2020-12-06,66,249,68,100,166,63,457,12,38,57
2020-12-07,131,601,226,337,370,178,1075,34,91,107
2020-12-08,114,604,187,152,288,78,1050,19,63,88
2020-12-09,111,610,157,398,327,143,929,20,80,122
2020-12-10,121,512,155,296,282,116,965,19,55,105
2020-12-11,104,543,154,311,250,122,885,12,69,107
2020-12-12,69,348,101,176,197,72,537,20,43,66
2020-12-13,53,259,78,136,146,70,451,12,31,60
2020-12-14,126,693,227,378,290,123,1032,52,79,142
2020-12-15,109,604,197,248,286,110,1022,49,64,90
2020-12-16,128,565,158,244,283,98,1019,45,61,83
2020-12-17,108,539,174,261,229,80,892,28,45,82
2020-12-18,92,495,173,270,257,91,856,21,49,65
2020-12-19,46,338,114,184,176,46,624,21,33,74
2020-12-20,48,219,84,117,140,45,463,17,27,48
2020-12-21,58,313,156,169,238,77,523,23,49,78
2020-12-22,0,8,2,0,1,0,2,0,0,0
