country_day,Allemagne,Brésil,Colombie,Espagne,France,Inde,Italie,Mexique,Suisse,Équateur,États-Unis
-4,0.2,0.4,0.2,0.1,0.2,0.6,0.0,0.2,0.0,0.7,0.3
-3,0.3,0.5,0.3,0.2,0.3,0.7,0.0,0.3,0.1,0.7,0.4
-2,0.6,0.6,0.7,0.4,0.6,0.8,0.0,0.5,0.1,0.8,0.5
-1,0.7,0.9,0.9,0.7,0.9,0.9,0.3,0.8,0.9,0.9,0.7
0,1.3,1.1,1.1,1.2,1.5,1.0,1.3,1.2,1.4,1.0,1.0
1,1.6,1.4,1.3,1.7,1.9,1.4,2.2,1.6,2.1,1.0,1.3
2,1.9,2.0,2.0,2.9,2.7,1.7,3.8,1.9,2.8,1.0,1.7
3,2.4,2.9,2.5,4.1,3.2,2.1,5.3,2.5,3.5,1.3,2.3
4,3.2,4.3,3.1,5.7,4.3,2.5,6.6,3.2,4.3,1.6,3.1
5,4.8,5.3,4.2,7.4,6.3,3.0,10.8,4.0,6.7,2.1,4.0
6,8.2,7.3,4.7,11.3,9.1,3.2,14.7,5.2,10.2,3.3,5.1
7,10.2,9.0,6.1,16.3,10.7,3.8,18.7,6.1,24.5,6.4,6.6
8,10.9,10.4,7.5,23.3,16.8,4.2,28.0,6.7,30.9,9.7,9.0
9,13.7,11.5,9.3,32.5,21.1,4.7,33.7,7.0,38.9,11.5,11.5
10,15.6,13.8,9.8,49.0,26.6,5.5,41.5,8.1,43.8,24.5,14.2
11,18.9,16.2,10.7,69.8,34.0,6.1,51.2,9.6,57.3,30.6,19.5
12,28.5,18.5,12.1,94.3,42.9,6.7,63.9,10.8,75.1,45.4,28.6
13,36.9,20.2,13.9,126.9,54.6,7.6,76.8,12.4,99.9,56.5,43.3
14,45.7,21.7,15.9,162.8,67.1,8.4,97.5,14.1,131.2,62.3,59.6
15,58.3,27.1,18.0,208.5,80.9,9.1,122.2,15.5,159.0,69.7,81.3
16,72.4,32.4,21.2,244.8,99.0,9.8,152.0,16.6,257.5,80.8,107.0
17,86.2,37.5,23.1,298.1,115.4,10.5,168.1,19.2,257.5,93.6,141.1
18,98.7,42.9,25.2,376.8,136.3,11.5,206.5,21.4,310.1,105.6,167.8
19,170.3,48.7,27.9,463.1,164.1,12.6,250.4,24.1,351.5,108.8,210.3
20,219.1,52.7,29.5,560.4,188.2,13.6,292.6,26.6,452.1,113.2,261.3
21,258.5,57.1,31.4,676.4,215.8,14.6,350.5,29.3,562.5,132.5,318.1
22,298.4,65.0,35.4,780.1,239.0,15.7,397.3,31.1,711.2,158.7,378.8
23,351.9,75.5,40.8,879.1,296.3,16.9,463.6,32.9,815.8,182.1,434.6
24,380.1,84.6,44.2,1042.9,332.8,17.9,522.0,37.4,938.0,193.9,500.3
25,439.8,93.0,49.1,1225.2,376.5,19.4,591.7,41.1,1028.6,199.4,576.2
26,509.4,98.2,53.8,1415.9,435.1,20.4,679.8,45.3,1136.9,209.9,658.6
27,585.2,105.0,55.1,1611.5,491.9,21.5,779.0,48.7,1253.9,215.7,746.2
28,632.9,111.0,56.7,1787.2,560.7,22.9,887.6,52.7,1416.6,229.9,844.7
29,690.2,119.7,59.2,1924.0,599.5,24.2,979.8,56.1,1539.2,256.1,948.9
30,745.8,134.2,61.7,2047.9,664.8,25.6,1059.1,59.5,1670.5,285.8,1026.0
31,811.5,144.2,64.2,2221.4,777.9,27.3,1146.1,66.4,1803.7,412.2,1118.9
32,885.6,159.6,68.3,2379.4,850.4,29.3,1232.4,73.2,1885.2,417.7,1211.9
33,960.0,173.4,71.9,2540.9,882.0,31.1,1334.3,80.4,1997.8,429.7,1313.2
34,1033.2,183.2,75.3,2695.8,960.1,34.0,1433.0,87.7,2129.3,433.4,1416.2
35,1104.7,192.3,79.0,2837.8,1023.8,36.1,1532.0,96.2,2250.2,437.6,1524.2
36,1149.0,204.1,82.4,2955.7,1051.7,38.8,1618.5,102.1,2364.2,452.3,1610.5
37,1195.2,216.8,86.5,3033.8,1110.1,41.2,1685.5,107.6,2460.3,473.4,1694.4
38,1243.4,234.5,90.6,3144.8,1166.4,43.7,1752.7,118.8,2524.9,486.4,1770.5
39,1303.3,251.1,97.0,3263.7,1224.4,46.1,1831.9,129.7,2593.9,519.3,1852.3
40,1367.5,277.2,102.1,3386.1,1288.3,49.1,1909.3,139.9,2657.8,545.0,1943.9
41,1417.2,293.2,106.9,3482.8,1353.1,51.8,1985.2,150.8,2749.7,583.0,2040.1
42,1451.2,315.1,111.2,3579.7,1399.6,54.4,2064.8,163.3,2835.5,598.5,2133.8
43,1481.8,340.6,118.2,3662.8,1423.7,57.1,2136.3,171.5,2904.8,624.5,2233.9
44,1506.9,370.3,123.4,3727.4,1463.5,60.0,2196.0,179.2,2951.6,643.7,2308.6
45,1536.8,404.5,129.3,3793.7,1545.6,62.9,2246.3,193.4,2984.2,643.7,2393.9
46,1571.3,434.0,139.2,3888.0,1584.9,66.5,2309.9,207.5,3014.0,643.7,2507.2
47,1612.0,457.5,144.7,3969.4,1624.3,70.4,2379.5,221.2,3082.2,1307.7,2560.7
48,1655.5,479.3,152.3,4050.7,1630.3,74.0,2445.0,235.1,3119.1,1337.7,2641.3
49,1685.1,510.7,158.4,4132.4,1668.6,78.1,2522.7,245.9,3159.6,1396.3,2706.2
50,1706.5,543.5,171.1,4117.3,1680.4,82.2,2590.5,256.5,3197.6,1420.3,2853.7
51,1728.0,593.3,178.0,4164.5,1711.0,86.7,2642.8,266.2,3236.9,1435.2,2935.3
52,1754.9,640.2,187.8,4227.4,1750.8,91.6,2692.0,285.8,3256.6,1515.9,3003.8
53,1783.3,688.6,199.7,4276.6,1778.0,96.5,2736.2,302.2,3274.7,1580.8,3077.2
54,1811.4,738.9,208.5,4338.8,1802.7,101.6,2798.9,319.9,3298.7,1700.2,3160.2
55,1836.2,770.9,219.8,4383.8,1829.2,106.4,2856.8,338.5,3325.4,1835.0,3251.1
56,1857.1,797.6,230.7,4437.2,1852.1,111.1,2914.6,357.3,3346.6,1835.0,3354.3
57,1869.4,841.5,243.8,4472.2,1859.0,115.9,2965.1,369.1,3371.9,1693.4,3443.3
58,1883.1,895.4,256.9,4507.5,1876.8,121.3,3002.5,380.1,3391.4,1743.9,3519.2
59,1898.8,961.5,270.4,4540.0,1892.7,127.2,3047.7,403.2,3403.5,1658.7,3587.8
60,1916.7,1034.0,282.4,4558.1,1916.7,133.3,3103.5,425.9,3415.2,1673.3,3660.3
61,1936.4,1104.7,296.8,4584.5,1933.7,139.4,3147.4,450.2,3431.9,1701.4,3733.6
62,1947.8,1142.3,309.4,4614.1,1942.7,145.4,3197.4,474.1,3452.9,1698.5,3819.8
63,1957.3,1204.6,323.7,4640.3,1954.5,151.9,3236.5,501.1,3466.8,1750.9,3901.7
64,1965.5,1287.0,336.4,4660.3,1959.1,158.8,3275.0,518.0,3479.9,1754.7,3979.6
65,1973.8,1381.6,351.4,4670.2,1967.7,166.0,3303.8,530.7,3490.2,1755.6,4041.1
66,1985.2,1469.3,364.1,4692.3,1984.2,173.2,3338.4,562.1,3499.1,1811.2,4096.2
67,2000.6,1567.8,380.0,4711.1,2046.6,180.5,3373.0,589.9,3502.4,1885.8,4163.2
68,2015.2,1646.0,400.8,4730.7,2056.0,187.8,3404.0,620.4,3508.3,1909.9,4226.4
69,2030.3,1721.0,420.6,4755.7,2065.6,195.1,3436.5,651.6,3516.1,1932.9,4308.8
70,2038.3,1776.4,436.7,4771.5,2072.0,202.4,3468.0,682.6,3525.5,1965.7,4386.4
71,2042.6,1853.7,457.0,4844.3,2075.2,209.7,3491.0,700.3,3530.7,2006.1,4460.8
72,2053.8,1951.3,478.8,4852.7,2082.0,217.7,3511.3,714.9,3537.0,2032.2,4518.1
73,2063.5,2076.5,503.9,4862.9,2092.5,226.1,3529.1,750.9,3541.6,2062.2,4584.5
74,2074.7,2204.1,530.2,4872.3,2100.1,234.9,3553.0,784.7,3545.8,2087.0,4645.2
75,2085.7,2361.7,560.9,4890.4,2109.4,243.3,3576.2,819.7,3549.6,2115.6,4715.9
76,2093.2,2439.5,583.7,4904.1,2117.8,251.1,3598.2,852.6,3555.5,2150.1,4793.2
77,2100.2,2494.4,605.7,4915.1,2123.3,259.1,3616.1,886.7,3561.5,2150.1,4866.6
78,2104.3,2631.5,632.4,4928.9,2125.1,268.5,3629.4,907.9,3568.2,2193.1,4931.2
79,2110.5,2767.2,662.6,4934.4,2132.5,278.5,3641.7,924.1,3570.0,2214.3,4993.7
80,2120.1,2913.7,697.7,4943.6,2140.3,289.1,3665.0,965.2,3571.2,2220.1,5051.6
81,2129.0,3059.8,727.8,4954.6,2146.5,300.4,3679.7,1002.2,3573.6,2220.1,5109.1
82,2134.6,3188.1,755.4,4964.9,2151.3,311.2,3696.1,1040.7,3578.3,2250.4,5166.0
83,2142.3,3277.7,779.4,5003.0,2157.3,322.2,3709.2,1078.9,3582.5,2302.0,5232.3
84,2147.5,3351.9,808.9,5012.9,2160.9,333.9,3723.7,1118.2,3584.0,2326.2,5309.2
85,2150.9,3503.9,835.9,5023.2,2162.6,346.2,3734.9,1141.6,3586.2,2357.9,5380.0
86,2156.2,3659.9,867.7,5015.2,2167.9,358.9,3742.3,1159.8,3587.4,2357.9,5440.2
87,2160.5,3804.0,867.7,5033.5,2172.0,372.5,3755.8,1207.8,3588.6,2393.0,5504.3
88,2164.8,3927.1,930.8,5044.4,2174.9,387.0,3766.8,1252.8,3590.4,2459.4,5566.7
89,2173.7,4029.9,968.3,5068.6,2224.5,401.3,3777.5,1297.4,3590.4,2481.9,5626.6
90,2182.6,4111.0,1011.9,5082.6,2233.4,414.8,3788.3,1339.4,3594.5,2496.8,5690.9
91,2186.0,4208.8,1054.1,5096.8,2260.7,428.5,3799.3,1383.2,3598.2,2527.8,5767.4
92,2190.0,4374.3,1091.2,5101.1,2264.5,442.5,3808.1,1407.1,3600.2,2557.9,5834.9
93,2192.6,4526.8,1133.2,5105.5,2269.6,457.8,3813.1,1427.2,3602.2,2557.9,5902.7
94,2196.7,4634.7,1196.2,5111.8,2258.1,474.5,3819.7,1478.4,3603.2,2634.9,5959.9
95,2201.5,4894.2,1257.0,5120.2,2263.4,492.6,3829.4,1528.3,3603.6,2668.2,6016.6
96,2207.6,5058.4,1303.8,5127.3,2274.8,510.4,3839.2,1576.1,3605.8,2690.9,6079.2
97,2212.5,5141.2,1363.8,5134.1,2284.0,526.7,3847.7,1623.3,3608.2,2723.8,6148.8
98,2216.1,5242.7,1414.1,5141.1,2292.6,543.3,3854.6,1670.9,3610.8,2759.5,6226.7
99,2218.7,5429.6,1461.5,5146.3,2297.7,561.5,3860.5,1698.6,3613.2,2791.0,6304.3
100,2222.9,5632.0,1531.9,5149.8,2300.9,580.9,3863.5,1717.7,3614.2,2825.9,6363.7
101,2226.7,5819.1,1601.1,5155.1,2306.9,600.8,3868.7,1771.2,3615.1,2862.4,6424.3
102,2233.4,6041.1,1677.5,5161.8,2315.0,621.7,3874.1,1822.7,3616.9,2888.5,6496.4
103,2236.5,6224.4,1759.9,5170.9,2321.4,642.7,3877.0,1871.8,3619.6,2914.8,6574.1
104,2240.7,6368.9,1823.0,5181.6,2332.2,663.6,3885.6,1920.7,3623.5,2914.8,6658.4
