timestamp,Allemagne,Brésil,Colombie,Espagne,France,Inde,Italie,Mexique,Suisse,Équateur,États-Unis
2019-12-31,0,0,,0,0,0,0,0,0,0,0
2020-01-01,0,0,,0,0,0,0,0,0,0,0
2020-01-02,0,0,,0,0,0,0,0,0,0,0
2020-01-03,0,0,,0,0,0,0,0,0,0,0
2020-01-04,0,0,,0,0,0,0,0,0,0,0
2020-01-05,0,0,,0,0,0,0,0,0,0,0
2020-01-06,0,0,,0,0,0,0,0,0,0,0
2020-01-07,0,0,,0,0,0,0,0,0,0,0
2020-01-08,0,0,,0,0,0,0,0,0,0,0
2020-01-09,0,0,,0,0,0,0,0,0,0,0
2020-01-10,0,0,,0,0,0,0,0,0,0,0
2020-01-11,0,0,,0,0,0,0,0,0,0,0
2020-01-12,0,0,,0,0,0,0,0,0,0,0
2020-01-13,0,0,,0,0,0,0,0,0,0,0
2020-01-14,0,0,,0,0,0,0,1,0,0,0
2020-01-15,0,0,,0,0,0,0,1,0,0,0
2020-01-16,0,0,,0,0,0,0,1,0,0,0
2020-01-17,0,0,,0,0,0,0,1,0,0,0
2020-01-18,0,0,,0,0,0,0,1,0,0,0
2020-01-19,0,0,,0,0,0,0,1,0,0,0
2020-01-20,0,0,,0,0,0,0,1,0,0,0
2020-01-21,0,0,,0,0,0,0,1,0,0,1
2020-01-22,0,0,,0,0,0,0,1,0,0,1
2020-01-23,0,0,,0,0,0,0,1,0,0,1
2020-01-24,0,0,,0,0,0,0,1,0,0,1
2020-01-25,0,0,,0,3,0,0,1,0,0,2
2020-01-26,0,0,,0,3,0,0,1,0,0,2
2020-01-27,0,0,,0,3,0,0,1,0,0,5
2020-01-28,1,0,,0,3,0,0,1,0,0,5
2020-01-29,4,0,,0,4,0,0,1,0,0,5
2020-01-30,4,0,,0,5,1,0,2,0,0,5
2020-01-31,5,0,,0,6,1,3,2,0,0,6
2020-02-01,7,0,,1,6,1,3,2,0,0,7
2020-02-02,8,0,,1,6,2,3,2,0,0,8
2020-02-03,9,0,,1,6,2,3,2,0,0,11
2020-02-04,11,0,,1,6,3,3,2,0,0,11
2020-02-05,11,0,,1,6,3,3,2,0,0,11
2020-02-06,11,0,,1,6,3,3,2,0,0,12
2020-02-07,12,0,,1,6,3,3,2,0,0,12
2020-02-08,13,0,,1,11,3,3,2,0,0,12
2020-02-09,13,0,,1,11,3,3,2,0,0,12
2020-02-10,13,0,,2,11,3,3,2,0,0,12
2020-02-11,13,0,,2,11,3,3,3,0,0,13
2020-02-12,15,0,,2,11,3,3,3,0,0,13
2020-02-13,15,0,,2,11,3,3,3,0,0,14
2020-02-14,15,0,,2,11,3,3,3,0,0,15
2020-02-15,15,0,,2,11,3,3,3,0,0,15
2020-02-16,15,0,,2,11,3,3,3,0,0,15
2020-02-17,15,0,,2,12,3,3,3,0,0,15
2020-02-18,15,0,,2,12,3,3,3,0,0,15
2020-02-19,15,0,,2,12,3,3,3,0,0,15
2020-02-20,15,0,,2,12,3,3,3,0,0,15
2020-02-21,15,0,,2,12,3,3,3,0,0,16
2020-02-22,15,0,,2,12,3,17,3,0,0,35
2020-02-23,15,0,,2,12,3,79,4,0,0,35
2020-02-24,15,0,,2,12,3,132,4,0,0,35
2020-02-25,15,0,,3,12,3,229,6,0,0,53
2020-02-26,17,1,,9,14,3,322,6,1,0,53
2020-02-27,21,1,,17,17,3,400,6,1,0,59
2020-02-28,47,1,,35,38,3,650,11,8,0,60
2020-02-29,57,1,,54,57,3,888,14,12,0,66
2020-03-01,111,2,,82,100,3,1128,15,18,1,69
2020-03-02,129,2,,136,130,3,1689,15,24,6,89
2020-03-03,157,2,,192,178,5,2036,16,30,7,103
2020-03-04,196,2,,267,212,6,2502,19,37,7,125
2020-03-05,262,3,,348,285,28,3089,22,57,10,159
2020-03-06,400,8,,531,423,29,3858,24,87,13,233
2020-03-07,684,13,1.0,764,613,31,4636,24,209,13,338
2020-03-08,847,13,1.0,1094,716,34,5883,25,264,13,433
2020-03-09,902,25,1.0,1527,1126,34,7375,29,332,14,554
2020-03-10,1139,25,3.0,2299,1412,44,9172,31,374,15,754
2020-03-11,1296,34,3.0,3274,1784,50,10149,42,490,17,1025
2020-03-12,1567,52,9.0,4427,2281,73,12462,70,642,17,1312
2020-03-13,2369,77,9.0,5958,2876,75,15113,98,854,17,1663
2020-03-14,3062,98,16.0,7641,3661,83,17660,159,1121,23,2174
2020-03-15,3795,121,34.0,9785,4499,90,21157,209,1359,28,2951
2020-03-16,4838,200,45.0,11491,5423,93,23980,245,2200,37,3774
2020-03-17,6012,234,57.0,13994,6633,125,27980,314,2200,58,4661
2020-03-18,7156,291,65.0,17688,7730,137,31506,411,2650,111,6427
2020-03-19,8198,428,102.0,21735,9134,165,35713,516,3003,168,9415
2020-03-20,14138,621,128.0,26304,10995,191,41035,664,3863,199,14250
2020-03-21,18187,904,158.0,31750,12612,231,47021,782,4806,426,19624
2020-03-22,21463,1128,210.0,36616,14459,320,53578,850,6077,532,26747
2020-03-23,24774,1546,235.0,41262,16018,439,59138,899,6971,789,35206
2020-03-24,29212,1891,306.0,48953,19856,492,63927,1034,8015,981,46442
2020-03-25,31554,2201,378.0,57506,22302,562,69176,1222,8789,1082,55231
2020-03-26,36508,2433,470.0,66460,25233,649,74386,1377,9714,1211,69194
2020-03-27,42288,2915,491.0,75641,29155,724,80539,1580,10714,1403,85991
2020-03-28,48582,3417,539.0,83885,32964,873,86498,1803,12104,1627,104686
2020-03-29,52547,3904,608.0,90309,37575,979,92472,1974,13152,1835,124665
2020-03-30,57298,4256,702.0,96122,40174,1071,97689,2120,14274,1890,143025
2020-03-31,61913,4579,798.0,104267,44550,1251,101739,2446,15412,1966,164620
2020-04-01,67366,5717,906.0,111680,52128,1397,105792,2732,16108,2302,189618
