timestamp,Allemagne,Brésil,Colombie,Espagne,France,Inde,Italie,Mexique,Suisse,Équateur,États-Unis
2020-03-02,0,0,0,5,8,0,204,0,1,0,16
2020-03-09,8,0,0,131,81,2,1208,0,10,2,40
2020-03-16,59,18,1,1190,471,2,3386,2,45,5,283
2020-03-23,322,96,5,4364,1752,21,5196,14,179,41,1851
2020-03-30,953,318,26,6054,5246,52,5339,63,305,124,6310
2020-04-06,1331,692,68,4609,6272,196,4108,194,291,143,12107
2020-04-13,1621,1223,66,4100,5491,234,3757,377,279,141,18302
2020-04-20,1346,1669,67,2737,3291,317,3157,655,218,120,14279
2020-04-27,1009,2734,91,2074,2146,477,2326,756,138,795,13196
2020-05-04,746,3877,121,1357,1550,808,1685,1292,65,346,12409
2020-05-11,519,5006,117,1029,1333,763,1368,1692,70,971,9960
2020-05-18,333,6380,143,1102,689,995,972,2134,40,408,8333
2020-05-25,253,6821,185,-1625,439,1297,605,2600,15,238,6694
2020-06-01,168,7096,315,9,371,1765,506,3732,4,274,6021
2020-06-08,119,6790,387,0,256,2266,455,3361,16,266,5634
2020-06-15,95,7256,534,1187,235,4059,309,3909,1,325,4283
2020-06-22,75,7094,813,20,145,2841,106,5600,4,225,5820
2020-06-29,55,7195,1003,42,115,3173,138,3985,4,345,4137
2020-07-06,51,7204,1177,18,111,3406,91,4364,0,262,5138
2020-07-13,21,7303,1397,17,148,4142,97,4158,2,251,5305
2020-07-20,34,7677,1753,12,40,5247,60,4486,12,225,6341
2020-07-27,23,7114,2061,13,73,5301,44,4098,6,229,7987
2020-08-03,55,6914,2210,58,59,6015,57,4534,6,180,7978
2020-08-10,35,6755,2270,114,85,6601,189,4537,3,149,7056
2020-08-17,38,7018,2158,221,103,6726,38,3711,5,212,6881
2020-08-24,26,6212,2096,173,90,6792,43,3565,5,260,6417
2020-08-31,30,5741,2092,407,96,7128,61,3735,7,187,5759
2020-09-07,24,5007,1578,329,212,7960,69,3050,11,4140,5163
2020-09-14,37,5322,1305,748,364,8166,89,2654,22,220,5557
2020-09-21,71,4874,1257,737,426,7751,126,2985,14,189,5239
2020-09-28,72,4581,1260,854,498,7279,150,2637,5,324,4897
2020-10-05,86,4211,1104,843,486,6552,172,4762,10,591,4983
2020-10-12,162,3477,1143,846,708,5697,334,2417,29,187,4912
