timestamp,Cas,Décès,Tests
2020-02-24,1,,48
2020-02-25,1,,169
2020-02-26,10,,317
2020-02-27,10,,279
2020-02-28,10,,449
2020-02-29,13,,257
2020-03-01,11,,372
2020-03-02,31,,478
2020-03-03,33,,716
2020-03-04,61,,593
2020-03-05,62,2.0,587
2020-03-06,73,0.0,957
2020-03-07,49,0.0,727
2020-03-08,68,1.0,744
2020-03-09,192,0.0,1631
2020-03-10,212,2.0,2172
2020-03-11,334,3.0,2724
2020-03-12,357,4.0,4634
2020-03-13,433,3.0,4689
2020-03-14,420,5.0,5244
2020-03-15,328,8.0,2524
2020-03-16,1065,7.0,5279
2020-03-17,1088,12.0,9353
2020-03-18,1214,8.0,10591
2020-03-19,837,14.0,9617
2020-03-20,1147,21.0,8082
2020-03-21,693,19.0,6393
2020-03-22,548,18.0,3289
2020-03-23,1464,23.0,6641
2020-03-24,1243,19.0,5797
2020-03-25,1072,39.0,7665
2020-03-26,1118,38.0,7862
2020-03-27,1308,32.0,7196
2020-03-28,723,57.0,5763
2020-03-29,434,46.0,2760
2020-03-30,1310,58.0,4488
2020-03-31,1138,44.0,7121
2020-04-01,1016,57.0,6657
2020-04-02,878,60.0,6960
2020-04-03,928,57.0,6511
2020-04-04,486,56.0,5204
2020-04-05,281,50.0,3305
2020-04-06,925,50.0,4105
2020-04-07,715,56.0,6855
2020-04-08,613,58.0,6561
2020-04-09,559,44.0,6014
2020-04-10,309,52.0,3979
2020-04-11,262,45.0,2791
2020-04-12,219,36.0,2299
2020-04-13,245,36.0,2195
2020-04-14,424,37.0,3922
2020-04-15,328,38.0,5586
2020-04-16,321,38.0,5130
2020-04-17,291,36.0,4596
2020-04-18,144,34.0,3648
2020-04-19,87,21.0,2119
2020-04-20,277,38.0,3425
2020-04-21,213,33.0,4967
2020-04-22,156,27.0,4635
2020-04-23,208,31.0,4534
2020-04-24,167,27.0,4783
2020-04-25,87,25.0,4032
2020-04-26,61,13.0,2362
2020-04-27,173,23.0,3748
2020-04-28,153,12.0,5592
2020-04-29,120,11.0,5810
2020-04-30,101,13.0,4845
2020-05-01,83,12.0,4443
2020-05-02,47,9.0,3120
2020-05-03,22,8.0,2516
2020-05-04,90,9.0,3862
2020-05-05,73,10.0,5889
2020-05-06,79,4.0,5365
2020-05-07,46,12.0,4664
2020-05-08,59,7.0,4353
2020-05-09,39,5.0,3134
2020-05-10,16,7.0,1422
2020-05-11,47,3.0,5068
2020-05-12,42,1.0,5566
2020-05-13,37,1.0,6230
2020-05-14,37,2.0,5706
2020-05-15,41,5.0,5596
2020-05-16,15,1.0,3270
2020-05-17,12,4.0,1743
2020-05-18,34,3.0,4412
2020-05-19,36,4.0,5992
2020-05-20,29,0.0,4863
2020-05-21,11,5.0,2117
2020-05-22,20,1.0,3565
2020-05-23,14,1.0,2527
2020-05-24,10,0.0,1659
2020-05-25,15,2.0,4003
2020-05-26,18,2.0,5693
2020-05-27,25,0.0,5002
2020-05-28,30,0.0,4192
2020-05-29,21,0.0,3712
2020-05-30,10,0.0,2588
2020-05-31,7,0.0,1572
2020-06-01,3,0.0,1782
2020-06-02,23,0.0,4282
2020-06-03,23,0.0,5267
2020-06-04,17,0.0,5217
2020-06-05,15,0.0,4821
2020-06-06,10,1.0,3121
2020-06-07,8,0.0,1541
2020-06-08,25,1.0,4712
2020-06-09,11,0.0,6493
2020-06-10,24,1.0,6600
2020-06-11,25,0.0,5609
2020-06-12,34,1.0,6456
2020-06-13,9,1.0,4358
2020-06-14,12,0.0,1794
2020-06-15,32,0.0,6505
2020-06-16,21,1.0,10044
2020-06-17,18,0.0,9615
2020-06-18,18,0.0,8433
2020-06-19,37,0.0,7586
2020-06-20,32,0.0,4698
2020-06-21,13,1.0,1779
2020-06-22,56,1.0,8204
2020-06-23,37,0.0,11674
2020-06-24,64,0.0,9151
2020-06-25,48,0.0,9263
2020-06-26,92,0.0,10193
2020-06-27,36,0.0,6447
2020-06-28,24,0.0,2536
2020-06-29,160,1.0,14089
2020-06-30,138,0.0,15033
2020-07-01,102,1.0,11243
2020-07-02,127,0.0,10892
2020-07-03,96,0.0,10378
2020-07-04,26,0.0,6216
2020-07-05,37,0.0,2519
2020-07-06,106,0.0,7826
2020-07-07,107,0.0,9997
2020-07-08,97,2.0,8866
2020-07-09,97,0.0,8532
2020-07-10,111,0.0,7698
2020-07-11,71,0.0,4745
2020-07-12,46,0.0,1946
2020-07-13,120,1.0,6842
2020-07-14,129,0.0,8812
2020-07-15,125,1.0,7769
2020-07-16,107,1.0,7284
2020-07-17,116,1.0,6720
2020-07-18,80,0.0,3766
2020-07-19,42,0.0,1776
2020-07-20,127,2.0,5684
2020-07-21,138,1.0,6823
2020-07-22,118,0.0,6721
2020-07-23,143,0.0,5510
2020-07-24,148,1.0,5539
2020-07-25,95,1.0,3632
2020-07-26,57,0.0,1789
2020-07-27,194,1.0,5530
2020-07-28,190,1.0,7339
2020-07-29,220,0.0,6853
2020-07-30,212,0.0,7089
2020-07-31,164,2.0,5711
2020-08-01,97,1.0,3055
2020-08-02,80,0.0,2132
2020-08-03,196,0.0,6233
2020-08-04,181,1.0,7322
2020-08-05,152,1.0,6793
2020-08-06,156,1.0,6619
2020-08-07,185,1.0,6166
2020-08-08,130,1.0,3726
2020-08-09,100,0.0,2026
2020-08-10,282,1.0,6055
2020-08-11,256,0.0,7368
2020-08-12,247,0.0,6728
2020-08-13,274,1.0,7345
2020-08-14,234,0.0,7334
2020-08-15,149,3.0,4851
2020-08-16,141,0.0,2446
2020-08-17,286,1.0,8245
2020-08-18,295,0.0,10579
2020-08-19,285,0.0,9433
2020-08-20,350,0.0,10135
2020-08-21,314,1.0,9984
2020-08-22,193,1.0,6139
2020-08-23,136,2.0,3313
2020-08-24,306,1.0,9989
2020-08-25,340,0.0,13201
2020-08-26,362,0.0,12878
2020-08-27,353,2.0,13139
2020-08-28,377,0.0,12567
2020-08-29,216,0.0,8400
2020-08-30,144,1.0,3864
2020-08-31,347,1.0,11409
2020-09-01,364,1.0,16451
2020-09-02,417,3.0,16056
2020-09-03,438,1.0,15535
2020-09-04,426,2.0,14504
2020-09-05,294,2.0,9530
2020-09-06,170,3.0,4344
2020-09-07,468,1.0,13428
2020-09-08,388,1.0,17555
2020-09-09,462,7.0,16431
2020-09-10,507,0.0,15710
2020-09-11,535,4.0,14178
2020-09-12,266,3.0,9868
2020-09-13,238,1.0,4159
2020-09-14,504,0.0,12849
2020-09-15,458,3.0,16814
2020-09-16,517,5.0,15449
2020-09-17,499,4.0,15273
2020-09-18,445,2.0,13431
2020-09-19,285,1.0,7814
2020-09-20,201,0.0,3582
2020-09-21,396,3.0,10369
2020-09-22,426,1.0,13465
