abbrev,timestamp,confirmed_daily,confirmed_sum,population,confirmed_14days,death_daily,death_sum,death_14days,lat,lng,name,no,abbr,daily_rate,sum_rate,daily_perc,sum_perc,n
AG,2020-02-24,0,0,685845,,0,0,,47.3876664,8.1554295,Argovie,19,AG,0.0,0.0,0.0,0.0,0
AG,2020-02-25,1,1,685845,,0,0,,47.3876664,8.1554295,Argovie,19,AG,0.1,0.1,0.0,0.0,1
AG,2020-02-26,0,1,685845,,0,0,,47.3876664,8.1554295,Argovie,19,AG,0.0,0.1,0.0,0.0,0
AG,2020-02-27,0,1,685845,,0,0,,47.3876664,8.1554295,Argovie,19,AG,0.0,0.1,0.0,0.0,0
AG,2020-02-28,0,1,685845,,0,0,,47.3876664,8.1554295,Argovie,19,AG,0.0,0.1,0.0,0.0,0
AG,2020-02-29,2,3,685845,,0,0,,47.3876664,8.1554295,Argovie,19,AG,0.3,0.4,0.0,0.0,2
AG,2020-03-01,2,5,685845,,0,0,,47.3876664,8.1554295,Argovie,19,AG,0.3,0.7,0.0,0.001,2
AG,2020-03-02,1,6,685845,,0,0,,47.3876664,8.1554295,Argovie,19,AG,0.1,0.9,0.0,0.001,1
AG,2020-03-03,1,7,685845,,0,0,,47.3876664,8.1554295,Argovie,19,AG,0.1,1.0,0.0,0.001,1
AG,2020-03-04,3,10,685845,,0,0,,47.3876664,8.1554295,Argovie,19,AG,0.4,1.5,0.0,0.002,3
AG,2020-03-05,2,12,685845,,0,0,,47.3876664,8.1554295,Argovie,19,AG,0.3,1.7,0.0,0.002,2
AG,2020-03-06,2,14,685845,,0,0,,47.3876664,8.1554295,Argovie,19,AG,0.3,2.0,0.0,0.002,2
AG,2020-03-07,0,14,685845,,0,0,,47.3876664,8.1554295,Argovie,19,AG,0.0,2.0,0.0,0.002,0
AG,2020-03-08,1,15,685845,2.19,0,0,0.0,47.3876664,8.1554295,Argovie,19,AG,0.1,2.2,0.0,0.002,1
AG,2020-03-09,3,18,685845,2.62,0,0,0.0,47.3876664,8.1554295,Argovie,19,AG,0.4,2.6,0.0,0.003,3
AG,2020-03-10,3,21,685845,2.92,0,0,0.0,47.3876664,8.1554295,Argovie,19,AG,0.4,3.1,0.0,0.003,3
AG,2020-03-11,7,28,685845,3.94,0,0,0.0,47.3876664,8.1554295,Argovie,19,AG,1.0,4.1,0.001,0.004,7
AG,2020-03-12,7,35,685845,4.96,0,0,0.0,47.3876664,8.1554295,Argovie,19,AG,1.0,5.1,0.001,0.005,7
AG,2020-03-13,6,41,685845,5.83,0,0,0.0,47.3876664,8.1554295,Argovie,19,AG,0.9,6.0,0.001,0.006,6
AG,2020-03-14,10,51,685845,7.0,0,0,0.0,47.3876664,8.1554295,Argovie,19,AG,1.5,7.4,0.002,0.007,10
AG,2020-03-15,8,59,685845,7.87,0,0,0.0,47.3876664,8.1554295,Argovie,19,AG,1.2,8.6,0.001,0.009,8
AG,2020-03-16,33,92,685845,12.54,0,0,0.0,47.3876664,8.1554295,Argovie,19,AG,4.8,13.4,0.005,0.013,33
AG,2020-03-17,36,128,685845,17.64,0,0,0.0,47.3876664,8.1554295,Argovie,19,AG,5.2,18.7,0.005,0.019,36
AG,2020-03-18,35,163,685845,22.31,0,0,0.0,47.3876664,8.1554295,Argovie,19,AG,5.1,23.8,0.005,0.024,35
AG,2020-03-19,32,195,685845,26.68,1,1,0.15,47.3876664,8.1554295,Argovie,19,AG,4.7,28.4,0.005,0.028,32
AG,2020-03-20,37,232,685845,31.79,0,1,0.15,47.3876664,8.1554295,Argovie,19,AG,5.4,33.8,0.005,0.034,37
AG,2020-03-21,11,243,685845,33.39,0,1,0.15,47.3876664,8.1554295,Argovie,19,AG,1.6,35.4,0.002,0.035,11
AG,2020-03-22,9,252,685845,34.56,0,1,0.15,47.3876664,8.1554295,Argovie,19,AG,1.3,36.7,0.001,0.037,9
AG,2020-03-23,42,294,685845,40.24,1,2,0.29,47.3876664,8.1554295,Argovie,19,AG,6.1,42.9,0.006,0.043,42
AG,2020-03-24,54,348,685845,47.68,0,2,0.29,47.3876664,8.1554295,Argovie,19,AG,7.9,50.7,0.008,0.051,54
AG,2020-03-25,46,394,685845,53.36,0,2,0.29,47.3876664,8.1554295,Argovie,19,AG,6.7,57.4,0.007,0.057,46
AG,2020-03-26,35,429,685845,57.45,1,3,0.44,47.3876664,8.1554295,Argovie,19,AG,5.1,62.6,0.005,0.063,35
AG,2020-03-27,54,483,685845,64.45,2,5,0.73,47.3876664,8.1554295,Argovie,19,AG,7.9,70.4,0.008,0.07,54
AG,2020-03-28,22,505,685845,66.2,3,8,1.17,47.3876664,8.1554295,Argovie,19,AG,3.2,73.6,0.003,0.074,22
AG,2020-03-29,18,523,685845,67.65,1,9,1.31,47.3876664,8.1554295,Argovie,19,AG,2.6,76.3,0.003,0.076,18
AG,2020-03-30,59,582,685845,71.44,2,11,1.6,47.3876664,8.1554295,Argovie,19,AG,8.6,84.9,0.009,0.085,59
AG,2020-03-31,42,624,685845,72.32,0,11,1.6,47.3876664,8.1554295,Argovie,19,AG,6.1,91.0,0.006,0.091,42
AG,2020-04-01,37,661,685845,72.61,0,11,1.6,47.3876664,8.1554295,Argovie,19,AG,5.4,96.4,0.005,0.096,37
AG,2020-04-02,33,694,685845,72.76,3,14,1.9,47.3876664,8.1554295,Argovie,19,AG,4.8,101.2,0.005,0.101,33
AG,2020-04-03,40,734,685845,73.19,1,15,2.04,47.3876664,8.1554295,Argovie,19,AG,5.8,107.0,0.006,0.107,40
AG,2020-04-04,23,757,685845,74.94,3,18,2.48,47.3876664,8.1554295,Argovie,19,AG,3.4,110.4,0.003,0.11,23
