country_day,Allemagne,Brésil,Colombie,Espagne,France,Inde,Italie,Mexique,Suisse,Équateur,États-Unis
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
3,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.0,0.0,0.1,0.1
4,0.0,0.1,0.0,0.0,0.1,0.1,0.2,0.0,0.0,0.1,0.1
5,0.0,0.1,0.0,0.0,0.1,0.1,0.3,0.0,0.0,0.1,0.1
6,0.0,0.1,0.0,0.1,0.1,0.1,0.3,0.0,0.1,0.1,0.1
7,0.0,0.2,0.1,0.1,0.1,0.1,0.5,0.0,0.1,0.1,0.1
8,0.0,0.2,0.1,0.1,0.3,0.1,0.6,0.0,0.1,0.2,0.2
9,0.0,0.3,0.1,0.1,0.4,0.1,0.9,0.0,0.2,0.2,0.2
10,0.0,0.4,0.1,0.6,0.5,0.2,1.3,0.0,0.2,0.4,0.3
11,0.0,0.4,0.1,0.7,0.7,0.2,1.8,0.0,0.4,0.4,0.3
12,0.1,0.5,0.1,1.0,0.9,0.2,2.5,0.0,0.5,0.8,0.5
13,0.1,0.6,0.2,1.8,1.2,0.2,3.3,0.1,0.5,1.0,0.5
14,0.1,0.8,0.3,2.6,1.4,0.3,3.9,0.1,0.8,1.6,0.8
15,0.1,1.0,0.3,2.9,1.9,0.3,6.1,0.1,1.3,1.7,1.0
16,0.2,1.1,0.3,6.1,2.2,0.3,7.7,0.2,1.5,2.0,1.4
17,0.2,1.4,0.4,6.6,2.6,0.4,10.5,0.2,1.6,2.4,1.8
18,0.2,1.7,0.5,10.5,3.6,0.4,13.7,0.2,2.2,2.8,2.4
19,0.5,2.0,0.6,12.7,5.6,0.4,16.8,0.3,2.9,3.3,3.2
20,0.5,2.3,0.7,16.3,6.7,0.4,21.0,0.4,3.9,3.6,3.9
21,0.8,2.6,0.9,21.3,8.4,0.5,23.9,0.5,5.0,4.5,5.2
22,1.1,3.2,1.0,28.3,10.1,0.5,30.0,0.6,6.6,6.9,6.7
23,1.5,3.8,1.1,36.6,12.8,0.5,35.8,0.7,7.0,6.9,7.6
24,1.8,4.5,1.4,46.5,16.4,0.6,41.5,1.0,7.7,8.3,9.6
25,2.4,5.0,1.6,57.4,19.9,0.6,49.3,1.1,10.1,9.9,12.4
26,3.0,5.3,2.0,73.2,25.3,0.6,56.4,1.4,12.1,10.4,15.6
27,3.9,5.8,2.2,87.1,29.8,0.7,66.8,1.5,18.8,11.0,18.4
28,4.7,6.3,2.2,103.5,34.5,0.7,80.0,1.8,23.1,12.7,21.7
29,5.5,7.3,2.5,121.2,38.9,0.8,90.7,2.1,27.5,13.9,25.8
30,7.0,8.2,2.6,139.1,45.1,0.8,100.7,2.3,30.1,15.7,29.3
31,8.8,9.1,2.9,156.4,52.6,0.9,113.0,2.6,34.5,17.1,33.4
32,10.5,10.1,3.0,174.5,60.2,1.0,124.3,3.2,43.7,18.1,39.2
33,12.3,11.1,3.3,192.9,67.2,1.0,135.3,3.5,44.2,19.2,45.0
34,13.9,11.7,3.6,213.1,97.1,1.1,151.4,3.8,50.6,20.4,50.7
35,16.2,12.2,3.8,233.0,112.8,1.2,166.1,4.3,56.6,20.4,57.1
36,17.3,13.0,3.9,250.2,120.5,1.3,178.6,5.1,63.2,22.3,62.6
37,19.4,13.8,4.1,264.6,133.0,1.4,192.0,5.4,65.4,23.2,67.2
38,22.4,15.7,4.3,278.1,154.1,1.4,205.9,5.6,68.3,24.2,71.9
39,25.4,17.4,4.5,294.0,162.2,1.5,218.0,6.7,75.0,26.2,79.2
40,28.6,19.0,4.6,310.1,182.2,1.6,230.6,7.6,82.5,27.3,94.2
41,30.6,19.9,4.8,324.6,196.9,1.7,243.2,8.4,88.5,29.2,101.1
42,32.2,21.5,5.0,337.5,206.4,1.8,254.5,9.6,94.2,29.9,112.6
43,33.7,23.8,5.3,348.4,214.8,1.9,263.2,10.2,97.3,30.9,118.2
44,35.8,25.9,5.5,361.6,223.3,1.9,273.8,10.6,100.4,32.2,123.6
45,39.2,28.0,5.8,372.6,234.7,2.0,283.8,11.2,100.4,33.2,129.3
46,43.0,30.0,6.2,389.4,256.2,2.1,292.7,12.3,105.3,33.2,136.9
47,46.6,32.0,6.4,402.5,267.4,2.2,302.9,13.6,113.9,33.2,142.2
48,49.5,33.3,6.8,415.0,278.8,2.3,312.3,14.6,118.9,38.2,151.8
49,51.7,34.7,7.1,427.0,288.3,2.4,322.6,15.5,123.8,50.1,155.0
50,53.0,37.5,7.5,435.8,294.2,2.5,329.7,16.2,129.9,50.8,161.6
51,55.4,40.4,7.9,444.3,302.4,2.6,339.1,16.9,132.7,51.8,166.8
52,58.8,43.3,8.1,453.4,310.3,2.7,349.1,17.8,133.5,61.2,170.9
53,61.4,46.9,8.5,462.7,318.4,2.8,358.6,19.7,138.8,78.9,177.3
54,64.1,50.4,8.8,472.1,326.1,2.9,367.3,21.2,142.3,90.0,185.3
55,66.2,52.7,9.2,479.9,332.0,3.0,376.9,23.2,148.3,90.3,191.5
56,67.9,54.6,9.5,487.9,337.5,3.2,384.8,24.8,153.1,90.3,197.7
