timestamp,Décès en 2020,Valeur attendue,min_limit,max_limit
2020-01-05,         188,228.0,189.0,267.0
2020-01-12,         201,227.0,188.0,266.0
2020-01-19,         225,226.0,187.0,265.0
2020-01-26,         212,225.0,187.0,264.0
2020-02-02,         223,224.0,186.0,263.0
2020-02-09,         200,223.0,185.0,262.0
2020-02-16,         215,222.0,184.0,261.0
2020-02-23,         202,220.0,181.0,258.0
2020-03-01,         192,217.0,179.0,255.0
2020-03-08,         202,213.0,175.0,251.0
2020-03-15,         247,209.0,172.0,246.0
2020-03-22,         250,205.0,168.0,242.0
2020-03-29,         317,201.0,164.0,237.0
2020-04-05,         400,198.0,161.0,234.0
2020-04-12,         351,195.0,159.0,231.0
2020-04-19,         277,192.0,156.0,228.0
2020-04-26,         279,190.0,155.0,226.0
2020-05-03,         230,189.0,153.0,224.0
2020-05-10,         157,188.0,152.0,223.0
2020-05-17,         165,187.0,151.0,222.0
2020-05-24,         201,186.0,151.0,221.0
2020-05-31,         145,184.0,149.0,219.0
2020-06-07,         188,183.0,148.0,218.0
2020-06-14,         171,182.0,147.0,217.0
2020-06-21,         165,181.0,147.0,216.0
2020-06-28,         180,181.0,146.0,215.0
2020-07-05,         167,180.0,145.0,214.0
2020-07-12,         184,179.0,145.0,214.0
2020-07-19,         145,179.0,144.0,213.0
2020-07-26,         165,178.0,144.0,213.0
2020-08-02,         177,178.0,144.0,212.0
2020-08-09,         175,178.0,144.0,212.0
2020-08-16,         170,178.0,144.0,212.0
2020-08-23,         181,179.0,144.0,213.0
2020-08-30,         156,180.0,145.0,214.0
2020-09-06,         156,181.0,146.0,215.0
2020-09-13,       192.4,182.0,148.0,217.0
2020-09-20,       165.5,184.0,149.0,219.0
2020-09-27,       130.1,186.0,151.0,221.0
2020-10-04,       140.5,188.0,153.0,223.0
