date,Allemagne,Espagne,Etats-Unis,France,Iran,Italie
2020-02-21,2,0,0,0,14,19
2020-02-22,2,0,0,0,23,59
2020-02-23,2,0,0,0,35,150
2020-02-24,2,0,0,0,49,221
2020-02-25,3,0,0,0,79,311
2020-02-26,12,0,0,0,71,438
2020-02-27,30,0,0,25,170,593
2020-02-28,32,0,0,44,281,821
2020-02-29,63,43,0,86,427,1053
2020-03-01,114,82,0,116,749,1577
2020-03-02,143,118,40,176,1144,1835
2020-03-03,180,162,59,188,1968,2263
2020-03-04,246,218,86,272,2278,2706
2020-03-05,466,254,153,362,2667,3296
2020-03-06,653,393,196,635,3710,3916
2020-03-07,781,460,312,934,4009,5061
2020-03-08,1022,626,424,1103,4238,6387
2020-03-09,1156,1013,488,1186,4530,7985
2020-03-10,1437,1628,856,1747,5020,8794
2020-03-11,1880,2040,1170,2230,5687,10590
2020-03-12,2050,2039,1544,2230,6687,10590
2020-03-13,3622,4906,2053,3587,7891,14955
2020-03-14,4530,5679,2594,4384,9159,17750
2020-03-15,5738,6992,3357,4420,8624,20603
2020-03-16,7188,9070,4463,6508,9548,23073
2020-03-17,9166,10187,6228,7539,9792,26062
2020-03-18,12194,12206,7597,8945,10837,28710
2020-03-19,15163,16026,13408,10692,11413,33190
2020-03-20,19601,17779,18784,12264,11466,38549
2020-03-21,21896,21874,25110,13857,11419,42681
2020-03-22,24513,24421,32777,13296,12022,46638
