timestamp,Cas confirmés,Décès
2019-12-31,27,0
2020-01-01,0,0
2020-01-02,0,0
2020-01-03,17,0
2020-01-04,0,0
2020-01-05,15,0
2020-01-06,0,0
2020-01-07,0,0
2020-01-08,0,0
2020-01-09,0,0
2020-01-10,0,0
2020-01-11,0,1
2020-01-12,0,0
2020-01-13,1,0
2020-01-14,1,0
2020-01-15,1,1
2020-01-16,0,0
2020-01-17,5,0
2020-01-18,17,0
2020-01-19,136,1
2020-01-20,20,0
2020-01-21,153,3
2020-01-22,142,11
2020-01-23,97,0
2020-01-24,266,9
2020-01-25,453,15
2020-01-26,673,15
2020-01-27,797,25
2020-01-28,1767,25
2020-01-29,1480,26
2020-01-30,1757,38
2020-01-31,2001,43
2020-02-01,2121,46
2020-02-02,2608,46
2020-02-03,2818,57
2020-02-04,3243,65
2020-02-05,3909,66
2020-02-06,3751,72
2020-02-07,3218,73
2020-02-08,3442,86
2020-02-09,2618,89
2020-02-10,2992,97
2020-02-11,2563,108
2020-02-12,2072,97
2020-02-13,15151,255
2020-02-14,4215,13
2020-02-15,2560,144
2020-02-16,2162,142
2020-02-17,2067,106
2020-02-18,1995,98
2020-02-19,1864,139
2020-02-20,532,116
2020-02-21,996,119
2020-02-22,1085,112
2020-02-23,1010,104
2020-02-24,523,156
2020-02-25,795,79
2020-02-26,867,64
2020-02-27,1114,38
2020-02-28,1271,57
2020-02-29,1860,64
2020-03-01,1843,58
2020-03-02,2068,67
2020-03-03,1858,72
2020-03-04,2315,84
2020-03-05,2357,80
2020-03-06,3060,102
2020-03-07,4120,104
2020-03-08,3980,97
2020-03-09,4177,228
2020-03-10,4820,209
2020-03-11,5117,272
2020-03-12,7922,345
2020-03-13,9475,350
2020-03-14,10464,443
2020-03-15,12191,367
2020-03-16,12489,751
2020-03-17,14238,607
2020-03-18,17094,811
2020-03-19,20289,963
2020-03-20,31204,1075
2020-03-21,31985,1387
2020-03-22,34234,1716
2020-03-23,34270,1691
2020-03-24,44560,1854
2020-03-25,42544,2316
2020-03-26,53825,2645
2020-03-27,61109,2814
2020-03-28,65192,3492
2020-03-29,62847,3590
2020-03-30,57369,3231
2020-03-31,64722,3993
2020-04-01,74847,4677
2020-04-02,77636,5016
2020-04-03,77647,5026
2020-04-04,82003,6786
2020-04-05,85274,6299
2020-04-06,66262,4772
2020-04-07,73306,5345
2020-04-08,77348,7576
2020-04-09,85091,6572
2020-04-10,87409,7425
2020-04-11,89630,7015
2020-04-12,75356,6064
2020-04-13,68521,5334
2020-04-14,65259,5390
2020-04-15,76975,7619
2020-04-16,78819,10491
2020-04-17,84428,8527
2020-04-18,82272,8463
2020-04-19,79693,6373
2020-04-20,70507,4988
2020-04-21,74666,5450
2020-04-22,87310,7243
2020-04-23,66604,5935
2020-04-24,78789,7335
2020-04-25,73149,5359
2020-04-26,99848,6161
2020-04-27,81832,3912
2020-04-28,66781,4899
2020-04-29,72825,6566
2020-04-30,79507,6562
2020-05-01,85674,5650
2020-05-02,88530,5577
2020-05-03,80639,4808
2020-05-04,77017,3706
2020-05-05,77607,3986
2020-05-06,79558,5957
2020-05-07,88302,6124
2020-05-08,92817,5642
2020-05-09,89696,5112
2020-05-10,88423,4406
2020-05-11,74535,3426
2020-05-12,71367,3590
2020-05-13,87118,5758
2020-05-14,87502,5017
2020-05-15,97180,5256
2020-05-16,98236,5059
2020-05-17,92967,4224
2020-05-18,79049,2898
2020-05-19,87957,3298
2020-05-20,96382,5184
2020-05-21,104973,4718
2020-05-22,108771,5389
2020-05-23,106811,4646
2020-05-24,98946,3916
2020-05-25,92252,1106
2020-05-26,90950,3368
2020-05-27,94641,3871
2020-05-28,103816,5143
2020-05-29,119328,4641
2020-05-30,123188,4656
2020-05-31,127764,4010
2020-06-01,105626,2914
2020-06-02,102772,3145
2020-06-03,113214,4544
2020-06-04,126514,5516
2020-06-05,127354,5130
2020-06-06,133856,4639
2020-06-07,125387,3787
2020-06-08,113667,3511
2020-06-09,108752,3214
2020-06-10,126773,4853
2020-06-11,135663,5131
2020-06-12,136728,4695
2020-06-13,144986,4647
2020-06-14,132970,4139
2020-06-15,119616,3157
2020-06-16,121596,3377
2020-06-17,143251,6719
2020-06-18,178023,5099
2020-06-19,138809,6275
2020-06-20,181355,5032
2020-06-21,159136,4116
2020-06-22,126285,3967
2020-06-23,136494,3395
2020-06-24,164177,5350
2020-06-25,175824,5215
2020-06-26,178867,6577
2020-06-27,189698,4560
2020-06-28,181247,4591
2020-06-29,159070,3070
2020-06-30,161815,3704
2020-07-01,193798,5623
2020-07-02,202237,4839
2020-07-03,208885,5077
2020-07-04,205799,5012
2020-07-05,187773,4339
2020-07-06,176549,3378
2020-07-07,177163,3841
2020-07-08,208510,5996
2020-07-09,215913,5277
2020-07-10,224960,5383
2020-07-11,231720,5277
2020-07-12,215719,4793
2020-07-13,194193,3889
2020-07-14,192553,3839
2020-07-15,225054,5578
2020-07-16,234288,5501
2020-07-17,256151,5744
2020-07-18,248828,7233
2020-07-19,227019,4978
2020-07-20,213629,3935
2020-07-21,204635,4092
2020-07-22,241538,6123
2020-07-23,283889,6877
2020-07-24,275842,9779
2020-07-25,284289,6256
2020-07-26,257000,5733
2020-07-27,229330,3963
2020-07-28,215352,4656
2020-07-29,244711,6160
2020-07-30,299972,6641
2020-07-31,290225,6383
2020-08-01,277273,6122
2020-08-02,262019,5758
2020-08-03,220912,4233
2020-08-04,207322,4226
2020-08-05,256816,6730
2020-08-06,277848,7098
2020-08-07,285966,6895
2020-08-08,275842,6467
2020-08-09,265704,5634
2020-08-10,227503,4824
2020-08-11,221187,4817
2020-08-12,261628,6137
2020-08-13,289725,6900
2020-08-14,285521,9909
2020-08-15,289466,6240
2020-08-16,256330,5657
2020-08-17,230261,4233
2020-08-18,199624,4297
2020-08-19,258063,6696
2020-08-20,280651,6512
2020-08-21,274449,6353
2020-08-22,254316,5870
2020-08-23,263315,5642
2020-08-24,224243,3340
2020-08-25,213162,4247
2020-08-26,256567,6477
2020-08-27,278253,6294
2020-08-28,283627,6082
2020-08-29,276977,5457
2020-08-30,266041,5698
2020-08-31,243225,3773
2020-09-01,245521,4052
2020-09-02,269000,6513
2020-09-03,284989,6077
2020-09-04,280050,5792
2020-09-05,294918,5624
2020-09-06,273436,5325
2020-09-07,246041,9033
2020-09-08,209003,3820
2020-09-09,245736,4964
2020-09-10,289163,6093
2020-09-11,305692,5893
2020-09-12,304680,5884
2020-09-13,284187,4927
2020-09-14,269918,3880
2020-09-15,245519,4236
2020-09-16,303580,6956
2020-09-17,289646,5437
2020-09-18,318191,5320
2020-09-19,311995,5955
2020-09-20,293472,5073
2020-09-21,284342,3743
2020-09-22,268933,4394
2020-09-23,282714,6067
2020-09-24,311482,6364
2020-09-25,320879,5783
2020-09-26,311601,5577
2020-09-27,299288,5422
2020-09-28,279884,3824
2020-09-29,238454,3923
2020-09-30,293934,6218
2020-10-01,316026,6109
2020-10-02,323180,8773
2020-10-03,318812,5534
2020-10-04,301978,4724
2020-10-05,281076,3966
2020-10-06,270276,4452
2020-10-07,326777,5618
2020-10-08,353626,5851
2020-10-09,363056,9119
2020-10-10,349258,5742
2020-10-11,349426,4867
2020-10-12,304057,3973
2020-10-13,285068,3939
2020-10-14,330727,5531
